smiles
CC(C)CC(NC(=O)OC(C)(C)C)C(=O)OC1CCc2cccnc21
CN(C)c1ccc([P-](#[Se+])(C2CCCCC2)C2CCCCC2)cc1
COc1cc(O)c2c(=O)oc(CC3OC3C(C)=O)cc2c1
O=C(CC1c2ccccc2-c2oc(=O)c3ccccc3c21)c1ccccc1
O=[P-](O)(=[OH+])CC[P-](=O)(O)=[OH+]
O=C(CC1Nc2ccccc2N=C1c1ccccc1)c1ccccc1
C#CCN1Cc2ccccc2CC1CO
CCOC1(O)C(=O)c2ccccc2OC1(OCC)c1ccccc1
O=c1oc2ccccc2c(NCc2ccccc2)c1C(O)c1ccccc1
FC(F)(F)C1CCc2ccccc2C12CCN=C(c1ccc(Br)cc1)O2
COC(=O)CC1OC(CO)C(O)C1O
O=C1C=CCC1=Cc1ccccc1
O=C(Nc1ccc(Cc2ccccc2)cc1)OCCCCCCOC(=O)Nc1ccc(Cc2ccccc2)cc1
CC(C)(C)c1ccc(C2CC2C(N)=O)cc1
CCOC(=O)C1OC2=C(CC1c1ccccc1)C(=O)CCC2
O=S(=O)(c1ccc(NCCO)cc1)c1ccc(NCCO)cc1
CC1=CC(=O)C=C(C)C12C(c1ccccc1)=C(c1ccccc1)C(c1ccccc1)=C2c1ccccc1
COC(=O)c1cc2c(=O)on(S(=O)(=O)c3ccc(C)cc3)c2cc1-c1ccc([N+](=O)[O-])cc1
CS(=O)(=O)c1ccc(C(=O)O)cc1
CCCC=C1Oc2c(ccc3ccccc23)C1=O
CC(=O)Oc1cccc(C(F)(F)F)c1-c1ccccc1[S+]([O-])c1ccc(C)cc1
COC(=O)C(Cc1c[nH]c2ccccc12)N[P-]1(=S)=[S+]CCO1
C(C#Cc1ccc(-c2ccccc2)cc1)#Cc1ccc(-c2ccccc2)cc1
CCC(N[S+]([O-])C(C)(C)C)C(F)(F)C(=O)O
