,vocab,count,valence
137,C1CNN1,1,"[(2, 2, 1, 1)]"
138,C1CSC1,4,"[(2, 2, 0, 2)]"
139,B1BCC=C1,2,"[(1, 1, 2, 1, 1)]"
140,B1BCCB1,1,"[(1, 1, 2, 2, 1)]"
141,B1BNBN1,1,"[(1, 1, 1, 1, 1)]"
142,B1C=CBC1,2,"[(1, 1, 1, 1, 2)]"
143,B1C=CC=C1,5,"[(1, 1, 1, 1, 1)]"
144,B1C=CCC1,5,"[(1, 1, 1, 2, 2)]"
145,B1C=CCN1,7,"[(1, 1, 1, 2, 1)]"
146,B1C=CCO1,12,"[(1, 1, 1, 2, 0)]"
147,B1C=C[BH-]=[S+]1,1,"[(1, 1, 1, 1, 0)]"
148,B1C=C[BH2-]O1,1,"[(1, 1, 1, 2, 0)]"
149,B1CBNN1,2,"[(1, 2, 1, 1, 1)]"
150,B1CC=CC1,5,"[(1, 2, 1, 1, 2)]"
151,B1CC=CN1,2,"[(1, 2, 1, 1, 1)]"
152,B1CCBO1,1,"[(1, 2, 2, 1, 0)]"
153,B1NBNN1,1,"[(1, 1, 1, 1, 1)]"
154,B1NC=CN1,41,"[(1, 1, 1, 1, 1)]"
155,B1NC=CO1,4,"[(1, 1, 1, 1, 0)]"
156,B1NC=NN1,3,"[(1, 1, 1, 0, 1)]"
157,B1NC=NO1,2,"[(1, 1, 1, 0, 0)]"
158,B1NCCN1,12,"[(1, 1, 2, 2, 1)]"
159,B1NCCO1,2,"[(1, 1, 2, 2, 0)]"
160,B1OC=CO1,3,"[(1, 0, 1, 1, 0)]"
161,B1OCCO1,214,"[(1, 0, 2, 2, 0)]"
162,B1O[BH2-][NH2+]O1,2,"[(1, 0, 2, 2, 0)]"
163,B1SC=CS1,4,"[(1, 0, 1, 1, 0)]"
164,B1SCCS1,3,"[(1, 0, 2, 2, 0)]"
165,C1=CCC=C1,888,"[(1, 1, 2, 1, 1)]"
166,C1=CCCC1,903,"[(1, 1, 2, 2, 2)]"
167,C1=CCN=C1,62,"[(1, 1, 2, 0, 1)]"
168,C1=CCNC1,874,"[(1, 1, 2, 1, 2)]"
169,C1=CCOC1,559,"[(1, 1, 2, 0, 2)]"
170,C1=CCSC1,30,"[(1, 1, 2, 0, 2), (1, 1, 2, 4, 2)]"
171,C1=CC[NH+]=C1,1,"[(1, 1, 2, 1, 1)]"
172,C1=CC[NH2+]C1,2,"[(1, 1, 2, 2, 2)]"
173,C1=CC[S+]=C1,21,"[(1, 1, 2, 0, 1)]"
174,C1=CC[SH]=C1,1,"[(1, 1, 2, 3, 1)]"
175,C1=CN=CC1,52,"[(1, 1, 0, 1, 2)]"
176,C1=CN=NC1,5,"[(1, 1, 0, 0, 2)]"
177,C1=CNC=C1,2479,"[(1, 1, 1, 1, 1)]"
178,C1=CNC=N1,781,"[(1, 1, 1, 1, 0)]"
179,C1=CNCC1,1088,"[(1, 1, 1, 2, 2)]"
180,C1=CNCN1,210,"[(1, 1, 1, 2, 1)]"
181,C1=CNN=C1,1100,"[(1, 1, 1, 0, 1)]"
182,C1=CNN=N1,473,"[(1, 1, 1, 0, 0)]"
183,C1=CNNC1,131,"[(1, 1, 1, 1, 2)]"
184,C1=CNOC1,12,"[(1, 1, 1, 0, 2)]"
185,C1=CNSC1,2,"[(1, 1, 1, 4, 2)]"
186,C1=CN[N-][NH+]=1,1,"[(0, 1, 1, 0, 1)]"
187,C1=CN[NH+]=C1,3,"[(1, 1, 2, 0, 1)]"
188,C1=CN[NH+]=N1,1,"[(1, 1, 1, 1, 0)]"
189,C1=CN[S+]=C1,1,"[(1, 1, 1, 0, 1)]"
190,C1=COC=C1,964,"[(1, 1, 0, 1, 1)]"
191,C1=COC=N1,89,"[(1, 1, 0, 1, 0)]"
192,C1=COC=[NH+]1,3,"[(1, 1, 0, 1, 1)]"
193,C1=COCC1,322,"[(1, 1, 0, 2, 2)]"
194,C1=COCN1,36,"[(1, 1, 0, 2, 1)]"
195,C1=COCO1,230,"[(1, 1, 0, 2, 0)]"
196,C1=COC[NH2+]1,1,"[(1, 1, 0, 2, 2)]"
197,C1=CON=C1,155,"[(1, 1, 0, 0, 1)]"
198,C1=CON=[NH+]1,9,"[(1, 1, 0, 0, 1)]"
199,C1=CONC1,11,"[(1, 1, 0, 1, 2)]"
200,C1=COSN1,1,"[(1, 1, 0, 4, 1)]"
201,C1=COSO1,1,"[(1, 1, 0, 4, 0)]"
202,C1=CO[NH+]=C1,1,"[(1, 1, 0, 1, 1)]"
203,C1=CSC=C1,1194,"[(1, 1, 0, 1, 1), (1, 1, 4, 1, 1)]"
204,C1=CSC=N1,134,"[(1, 1, 0, 1, 0)]"
205,C1=CSCC1,40,"[(1, 1, 4, 2, 2), (1, 1, 0, 2, 2)]"
206,C1=CSCN1,51,"[(1, 1, 0, 2, 1)]"
207,C1=CSCO1,7,"[(1, 1, 0, 2, 0)]"
208,C1=CSCS1,297,"[(1, 1, 0, 2, 0), (1, 1, 4, 2, 4)]"
209,C1=CSN=C1,21,"[(1, 1, 4, 0, 1), (1, 1, 0, 0, 1)]"
210,C1=CSN=N1,1,"[(1, 1, 0, 0, 0)]"
211,C1=CSNC1,69,"[(1, 1, 0, 1, 2), (1, 1, 4, 1, 2)]"
212,C1=CSNS1,2,"[(1, 1, 0, 1, 0)]"
213,C1=CSOC1,1,"[(1, 1, 4, 0, 2)]"
214,C1=CSOS1,1,"[(1, 1, 4, 0, 4)]"
215,C1=CSSC1,35,"[(1, 1, 0, 0, 2)]"
216,C1=CSSS1,1,"[(1, 1, 0, 0, 0)]"
217,C1=C[CH-]C=C1,1,"[(1, 1, 1, 1, 1)]"
218,C1=C[N-]C=C1,1,"[(1, 1, 0, 1, 1)]"
219,C1=C[N-][S+]=C1,10,"[(1, 1, 0, 0, 1)]"
220,C1=C[NH+]=CC1,6,"[(1, 1, 1, 1, 2)]"
221,C1=C[NH+]=CN1,30,"[(1, 1, 1, 1, 1), (1, 1, 0, 1, 2)]"
222,C1=C[NH+]=NC1,1,"[(1, 1, 1, 0, 2)]"
223,C1=C[NH+]=NN1,6,"[(1, 1, 1, 0, 1)]"
224,C1=C[NH+]=[N+]=C1,1,"[(1, 1, 1, 0, 1)]"
225,C1=C[NH2+]C=C1,2,"[(1, 1, 2, 1, 1)]"
226,C1=C[NH2+]C=[NH+]1,1,"[(1, 1, 2, 1, 1)]"
227,C1=C[NH2+]CC1,7,"[(1, 1, 2, 2, 2)]"
228,C1=C[NH2+]CN1,1,"[(1, 1, 2, 2, 1)]"
